Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-06-15,8.037156,8.545122333333333,7.472183428571428,16.872799,3.7424232799549704,12.692578915151515,9.760948,8.275717904761905,4.499356,2,6,2,8.050616530856788,0.3038893420509373,-0.31734987290772576
2022-06-16,8.763097,7.408202,7.231111285714285,16.872799,3.741332355646041,12.664534198795181,9.7428045,8.200523523809524,8.037156,3,6,2,8.02865065312897,1.4292587952224847,-0.6948124483514544
2022-06-17,6.059616,7.099869666666667,7.2337235714285715,16.872799,3.7525339336921375,12.641172299401196,9.724661,7.742597666666667,8.763097,4,6,2,8.061742624679367,-1.9300320307260028,-0.0720945939533637
2022-06-18,9.652107,7.619956333333334,7.674327857142857,16.872799,3.754509740955816,12.601996369047619,9.706377499999999,7.312339428571428,6.059616,5,6,2,8.163712222341367,1.5556514612674683,-0.06725668360883397
2022-06-19,14.859138,8.158273333333334,8.306763285714286,16.872799,3.370239767485849,12.584541402366863,9.688094,7.379720904761904,9.652107,6,6,2,8.323269263576657,4.267183724419943,2.2686850120034006
2022-06-20,7.656162,10.190287,8.794080571428571,14.859138,3.180141343514624,12.597921382352942,9.706377499999999,7.738271571428571,14.859138,0,6,2,8.511070963395143,-1.5283174367233163,0.6734084733281733
2022-06-21,2.794041,10.722469000000002,8.50380457142857,14.859138,3.180492702985384,12.569022204678362,9.688094,8.258390571428572,7.656162,1,6,2,8.71035579221959,-2.7164121543634665,-3.1999026378561233
2022-06-22,5.116203,8.436447000000001,8.260188142857142,14.859138,3.178863290664043,12.51219091860465,9.688094,8.53488280952381,2.794041,2,6,2,8.91996475460552,-0.8361594811345862,-2.967602273470934
2022-06-23,10.722255,5.188802,7.842909142857144,14.859138,3.1898571142208554,12.469439543352602,9.688094,8.519357761904763,5.116203,3,6,2,9.11823899074567,-0.16617937501054594,1.770195384264877
2022-06-24,9.633964,6.210833000000001,8.122788857142856,14.859138,3.2643199626725576,12.459398252873564,9.688094,8.20230061904762,10.722255,4,6,2,9.291203719122395,0.8429306475002677,-0.5001703666226618
2022-06-25,8.509079,8.490807333333334,8.63341,14.859138,3.297470329159369,12.443252914285715,9.688094,8.075295380952381,9.633964,5,6,2,9.456196634919223,-0.5184262113038844,-0.42869142361533896
2022-06-26,12.427814,9.621766000000001,8.470120285714286,14.859138,3.2888587531523723,12.420899653409093,9.6701005,8.199702666666667,8.509079,6,6,2,9.625077131254669,-0.4873917888015603,3.290128657546891
2022-06-27,11.683896,10.190285666666668,8.122788285714284,14.859138,3.32825355578074,12.420938717514122,9.688094,8.408773047619048,12.427814,0,6,2,9.784687543584116,1.5885562145627667,0.3106522418531181
2022-06-28,10.994514,10.873596333333333,8.698178857142858,14.859138,3.314306553047425,12.416798028089886,9.688094,8.408772857142859,11.683896,1,6,2,9.90567879172706,1.119960245493253,-0.031125037220313345
2022-06-29,7.329795,11.702074666666668,9.869674999999999,14.859138,3.227023940421856,12.408852307262569,9.688094,8.430362476190478,10.994514,2,6,2,9.96063740698672,-1.7935282777567625,-0.8373141292299575
2022-06-30,12.899761,10.002735000000001,10.185902428571428,14.859138,3.170054632919447,12.380635322222222,9.688094,8.896880714285716,7.329795,3,6,2,9.931570931633882,0.26147097201658426,2.7067190963495342
2022-07-01,15.693318,10.408023333333334,10.496974714285715,14.859138,3.2341661330602287,12.383503419889504,9.688094,9.58458542857143,12.899761,4,7,2,9.794415137086482,3.320011092830751,2.578891770082766
2022-07-02,3.211234,11.974291333333333,11.362596714285715,15.693318,3.4133634278060065,12.401689214285716,9.706377499999999,10.184184047619047,15.693318,5,7,2,9.540230929883553,-1.6304918585696222,-4.69850507131393
2022-07-03,6.241212,10.601437666666667,10.605761714285716,15.693318,3.405073628688878,12.351468147540984,9.688094,10.68182461904762,3.211234,6,7,2,9.186699233764307,-3.2780728901392586,0.3325856563749525
2022-07-04,16.546019,8.381921333333333,9.72196142857143,15.693318,3.4133329888564856,12.318260233695652,9.688094,10.821777714285716,6.241212,0,7,2,8.77541110747946,0.1479701719776951,7.622637720542848
